idex,name,type,img
1,Dips Two Benches,Arms,Dips Two Benches.jpg
2,Kick back,Arms,Kick back.jpg
3,Two hand Vertical Extension,Arms,Two hand Vertical Extension.jpg
4,Bar Vertical Extension,Arms,Bar Vertical Extension.jpg
5,Sit pulley Extension ,Arms,Sit Poulie Extension.jpg
6,Unilateral pulley Extension,Arms,Unilateral Poulie Extension.jpg
7,pulley Extension supination ,Arms,Poulie Extension supination.jpg
8,String Horizontal Extension ,Arms,String Horizontal Extension.jpg
9,pulley Extension,Arms,Poulie Extension.jpg
10,Rotate Curl,Arms,Rotate Curl.jpg
11,Hammer Curl,Arms,Hammer Curl.jpg
12,Hammer Curl Pupitre,Arms,Hammer Curl Pupitre.jpg
13,Hammer Curk Bench,Arms,Hammer Curk Bench.jpg
14,unilateral thigh press,Leg,unilateral thigh press.jpg
15,Leg Extension,Leg,Leg Extension.jpg
16,Hack Squat,Leg,Hack Squat.jpg
17,Calf Press,Leg,Calf Press.jpg
18,Bar Calf Extension,Leg,Bar Calf Extension.jpg
19,Bench,Chest,Bench.jpg
20,Bench Press Dumbbells,Chest,Bench Press Dumbbells.jpg
21,incline press,Chest,incline press.jpg
22,Push-up,Chest,push-up.jpg
23,Deadlift,Back,Deadlift.jpg
24,Traction suplination hand,Back,Traction suplination hand.jpg
25,Traction,Back,Traction.jpg
26,Vertical Pull,Back,Bent-Over.jpg
27,Tight Grip Vertical Pull,Back,Tight Grip Vertical Pull.jpg
28,Supine Vertical Draw,Back,Supine Vertical Draw.jpg
29,One-Sided Vertical Draft,Back,One-Sided Vertical Draft.jpg
30,Neck Press,Shoulders,Neck Press.jpg
31,Dumbbell Press,Shoulders,Dumbbell Press.jpg
32,Arnold Developed,Shoulders,Arnold Developed.jpg
33,Machine Shoulder Press,Shoulders,Machine Shoulder Press.jpg
34,Lying Lateral Raise,Shoulders,Lying Lateral Raise.jpg
35,Low Pulley Lateral Raises,Shoulders,Low Pulley Lateral Raises.jpg
36,Machine Lateral Raises,Shoulders,Machine Lateral Raises.jpg
37,Dips Two Benches,Full body,Dips Two Benches.jpg
38,Kick back,Full body,Kick back.jpg
39,Two hand Vertical Extension,Full body,Two hand Vertical Extension.jpg
40,Bar Vertical Extension,Full body,Bar Vertical Extension.jpg
41,Sit pulley Extension ,Full body,Sit Poulie Extension.jpg
42,Unilateral pulley Extension,Full body,Unilateral Poulie Extension.jpg
43,pulley Extension supination ,Full body,Poulie Extension supination.jpg
44,String Horizontal Extension ,Full body,String Horizontal Extension.jpg
45,pulley Extension,Full body,Poulie Extension.jpg
46,Rotate Curl,Full body,Rotate Curl.jpg
47,Hammer Curl,Full body,Hammer Curl.jpg
48,Hammer Curl Pupitre,Full body,Hammer Curl Pupitre.jpg
49,Hammer Curk Bench,Full body,Hammer Curk Bench.jpg
50,unilateral thigh press,Full body,unilateral thigh press.jpg
51,Leg Extension,Full body,Leg Extension.jpg
52,Hack Squat,Full body,Hack Squat.jpg
53,Calf Press,Full body,Calf Press.jpg
54,Bar Calf Extension,Full body,Bar Calf Extension.jpg
55,Bench,Full body,Bench.jpg
56,Bench Press Dumbbells,Full body,Bench Press Dumbbells.jpg
57,incline press,Full body,incline press.jpg
58,Push-up,Full body,push-up.jpg
59,Deadlift,Full body,Deadlift.jpg
60,Traction suplination hand,Full body,Traction suplination hand.jpg
61,Traction,Full body,Traction.jpg
62,Vertical Pull,Full body,Bent-Over.jpg
63,Tight Grip Vertical Pull,Full body,Tight Grip Vertical Pull.jpg
64,Supine Vertical Draw,Full body,Supine Vertical Draw.jpg
65,One-Sided Vertical Draft,Full body,One-Sided Vertical Draft.jpg
66,Neck Press,Full body,Neck Press.jpg
67,Dumbbell Press,Full body,Dumbbell Press.jpg
68,Arnold Developed,Full body,Arnold Developed.jpg
69,Machine Shoulder Press,Full body,Machine Shoulder Press.jpg
70,Lying Lateral Raise,Full body,Lying Lateral Raise.jpg
71,Low Pulley Lateral Raises,Full body,Low Pulley Lateral Raises.jpg
72,Machine Lateral Raises,Full body,Machine Lateral Raises.jpg
73,Run,Cardio,Run.jpg
